02.07.2015                     Dynamic List Display                            1


	KTOPL	KSTAR	KTEXT	LTEXT
	CASE	781500	Avskr varumärken	Avskr varumärken
	CASE	781600	Avskr hyresrätter	Avskr hyresrätter
	CASE	781700	Avskr goodwill	Avskrgoodwill
	CASE	781900	Avskr övr anl tillg	Avskr övriga immateriella tillgångar
	CASE	782000	Avskr byggn/markanl	Avskr byggnader och markanläggningar
	CASE	782100	Avskr byggnader	Avskr byggnader
	CASE	782400	Avskr markanläggning	Avskr markanläggningar
	CASE	782900	Avskr övr byggnader	Avskr övriga byggnader
	CASE	783000	Avskr maskin/invent	Avskr maskiner och inventarier
	CASE	783100	Avskr maskin/tek anl	Avskr maskiner och andra tekniska anl.
	CASE	783200	Avskr invent/verktyg	Avskr inventarier och verktyg
	CASE	783300	Avskr installationer	Avskr installationer
	CASE	783400	Avskr bilar/trptmdl	Avskr bilar / andra transportmedel
	CASE	783500	Avskr datorutrustn	Avskr datorutrustning
	CASE	783600	Avskr leasingavtal	Avskr leasingavtal
	CASE	783900	Avskr övr mask/inven	Avskr övriga maskiner och inventarier
	CASE	791000	Intäkter engångskar	Intäkter av engångskaraktär
	CASE	792000	Kostnader engångskar	Kostnader av engångskaraktär
	CASE	796000	Valutaförluster	Valutaförlust fordr / skulder av rörelse
	CASE	797000	Förl avy im o mat tg	Förlust vid avyttr av immat och material
	CASE	797020	Avr vid avyttr anl	Avräkning vid avyttring av anläggning
	CASE	797100	Förlust avyttr anl	Förlust vid avyttring av immat anläggnin
	CASE	797200	Förl avyttr byg/mark	Förlust vid avyttring av byggnader och m
	CASE	797300	Förl avyttr mask/inv	Förlust vid avyttring av maskiner och in
	CASE	799000	Övriga rörelsekostn	Övriga rörelsekostnader
	CASE	901100	Kalkylmässiga avskr	Kalkylmässiga avskrivningar
	CASE	901200	Kalkylmässig ränta	Kalkylmässig ränta
	CASE	911100	Umlage	Umlage
	CASE	911200	Umlage	Umlage
	CASE	911300	Umlage	Umlage
	CASE	921100	Verrechnung Leistung	Verrechnung Leistungen/Prozesse
	CASE	921200	Verrechnung Leistung	Verrechnung Leistungen/Prozesse
	CASE	921300	Verrechnung Leistung	Verrechnung Leistungen/Prozesse
	CASE	921400	Verrechnung Leistung	Verrechnung Leistungen/Prozesse
	CASE	931110	Abrechnung intern	Abrechnung intern
	CASE	931120	Abrechnung intern	Abrechnung intern
	CASE	931130	Abrechnung intern	Abrechnung intern
	CASE	931140	Abrechnung intern	Abrechnung intern
	CASE	941100	Gemeinkostenzuschläg	Gemeinkostenzuschläge
	CASE	941200	Gemeinkostenzuschläg	Gemeinkostenzuschläge
	CASE	941300	Gemeinkostenzuschläg	Gemeinkostenzuschläge
	CASE	941400	Gemeinkostenzuschläg	Gemeinkostenzuschläge
	CASE	951110	Auftrags-/Projektabg	Auftrags-/Projektabgrenzung
	CASE	951120	Auftrags-/Projektabg	Auftrags-/Projektabgrenzung
	CASE	951130	Auftrags-/Projektabg	Auftrags-/Projektabgrenzung
	CASE	951140	Auftrags-/Projektabg	Auftrags-/Projektabgrenzung
	CASE	951150	Auftrags-/Projektabg	Auftrags-/Projektabgrenzung
	CASE	951160	Auftrags-/Projektabg	Auftrags-/Projektabgrenzung
	CASE	951170	Auftrags-/Projektabg	Auftrags-/Projektabgrenzung
	CASE	951520	Auftrags-/Projektabg	Auftrags-/Projektabgrenzung
	CASE	961100	Projektbez. Auftrags	Projektbez. Auftragseingang: Umsatzerlös
	CASE	961200	Projektbez. Auftrags	Projektbez. Auftragseingang: Sonstige Er
	CASE	961300	Projektbez. Auftrags	Projektbez. Auftragseingang: Kosten
	CASE	962100	Fortschrittswert	Fortschrittswert
	CASK	501000	Materialverbrauch	Materialverbrauch
	CASK	501100	Materialverb.Kl.3000	Materialverbrauch - Kl. 3000
	CASK	501110	Materialverb.Kl.3001	Materialverbrauch - Kl. 3001
	CASK	501120	Materialverb.Kl.3030	Materialverbrauch - Kl. 3030
	CASK	501130	Materialverb.Kl.3040	Materialverbrauch - Kl. 3040
	CASK	501150	Materialverb.Kl.3050	Materialverbrauch - Kl. 3050
	CASK	501160	Materialverb.Kl.3100	Materialverbrauch - Kl. 3100
	CASK	501170	Materialverb.Kl.3031	Materialverbrauch - Kl. 3031
	CASK	501180	Materialverb.Kl.7900	Materialverbrauch - Kl. 7900
	CASK	501190	Materialverb.Kl.7920	Materialverbrauch - Kl. 7920
	CASK	501200	Materialverb.-MM dif	Materialverbrauch - für Qualitätskontrol
	CASK	501810	Kleine Preis Diff.MM	Kleindifferenzen Materialwirtschaft
	CASK	501820	Kleine Preis Diff.MM	Kleindifferenzen Materialwirtschaft
	CASK	501910	Materialverb.kl.Diff	Materialverbr.-MM-kleine Abweichungen
	CASK	501911	Meterial verbrauch	Meterial verbrach MM PRY ERLOSS
	CASK	501920	Materialverb.Pr.Diff	Materialverbr.-MM-Preisabweichungen, Kl.
	CASK	501930	Materialverb.Pr.Diff	Materialverbr.-MM-Preisabweichungen, Kl.
	CASK	501940	Materialverb.aufw.	Materialverbr.-MM-Aufwand aus Umbewer.Kl
	CASK	501941	Meterial verbracuch	Meterial verbrach MM - PRY Aufwand
	CASK	501950	Matverb.-Auf.a.Umb.	Materialverbr.-MM-Aufwand aus Umbewer.Kl
	CASK	501960	Matverb.-Auf.a.Umlag	Materialverbrauch-MM-Aufwand aus Umlager
	CASK	501970	Matverb.-Auf.a.Umb.	Ertrag aus Umbewertung
	CASK	501980	Matverb.-Auf.a.Umb.	Umbewertung Differenzen
	CASK	501990	Preis diff. (MM)	Preisdifferenzen
	CASK	502000	Energieverbrauch	Energieverbrauch
	CASK	503000	Verbr.s.nichlagerfäh	Verbrauch sonstiger nichtlagerfähiger Li
	CASK	504000	Warenverkauf	Warenverkauf
	CASK	504100	Warenverkauf - MM	Warenverkauf-Modul MM
	CASK	504200	Verkaufte Vare-Diff.	Verkaufte Vare-Differenzen
	CASK	510000	Bezogene Leistungen	Bezogene Leistungen
	CASK	511000	Repar.u.Instandhalt.	Reparaturen und Instandhaltung
	CASK	512000	Reisekosten	Reisekosten
	CASK	513000	Repräsentationskost.	Repräsentationskosten
	CASK	518000	Sonst.Dienstleistung	Sonstige Dienstleistungen
	CASK	518110	Telefonkosten	Telefonkosten
	CASK	521000	Löhne und Gehälter	Löhne und Gehälter
	CASK	522000	Einnahm.d.Gesell. AT	Einnahmen der Gesellschafter aus abhäng.
	CASK	523000	Zuwend.an Organmitgl	Zuwendungen an Organmitglieder der Gesel
	CASK	524000	Gesetz.Sozialversich	Gesetzliche Sozialversicherung
	CASK	525000	Sonst.Sozialversich.	Sonstige Sozialversicherung
	CASK	526000	Soz.Aufw.Einzelunter	Sozialaufwand Einzelunternehmer
	CASK	527000	Gesetzl.Sozialaufwen	Gesetzliche Sozialaufwendungen
	CASK	528000	Sonst.Sozialaufwend.	Sonstige Sozialaufwendungen
	CASK	531000	Straßensteuer	Straßensteuer
	CASK	532000	Immobiliensteuer	Immobiliensteuer
	CASK	538000	Sonst.indir.Steuer.	Sonstige Steuern und Gebühren
	CASK	541000	Restbuchw.verk.Verm.	Restbuchwert des verkauften mater. und i
	CASK	542000	Materialverkauf	Materialverkauf
	CASK	543000	Geschenke	Geschenke
	CASK	544000	Vetragsstrafen	Vertragsstrafen und Verzugszinsen
	CASK	545000	Sonst.Strafen u.Bußg	Sonstige Strafen u.Bußgelder
	CASK	546000	Abschreibung a.Ford.	Abschreibung auf Forderungen
	CASK	548000	Sonst.betr.Aufwend.	Sonstige betriebliche Aufwendungen
	CASK	551000	Abschr.a.Anlageverm	Abschreibungen auf mat. und immat. Anlag
	CASK	552000	Bildung ges.Rückstel	Bildung gesetzlicher Rückstellungen
	CASK	554000	Bildung sonst.Rückst	Bildung sonstiger Rückstellungen
	CASK	555000	Verr.kom.Aufw.künf.Z	Verrechnung komplexer Aufwendunden künft
	CASK	557000	Abschr. zu Konto 098	Abschreibungen zu Firmenwertberichtigung
	CASK	559000	Bildung v.Bericht.Po	Bildung von Berichtigungsposten
	CASK	561000	Verkauf von Wertpap.	Verkauf von Wertpapieren und Beteiligung
	CASK	562000	Materialverb.Kl.3050	Zinsen
	CASK	563000	Kursverluste	Kursverluste
	CASK	563040	Kursverluste	Kursverluste
	CASK	568000	Sonst.Finanzaufwend.	Sonstige Finanzaufwendungen
	CASK	568100	Sonst.Fin.aufw.-Untz	Sonstige Finanzaufwendungen - Unterzahlu
	CASK	568200	Sonst.Fin.aufw.-Sk.	Sonstige Finanzaufwendungen - Skonto
	CASK	568300	Sonst.Fin.aufw.-Sk.	Sonst.Finanzaufwendungen-Skontoverl.(Net
	CASK	574000	Bildung v.Rückstell.	Bildung von Rückstellungen
	CASK	579000	Bild.v.Berichtig.Pos	Bildung von Berichtigungsposten
	CASK	581000	Aufw.auf Bewert.Änd.	Aufwendungen auf Bewertungsänderungen
	CASK	582000	Manko und Schäden	Manko und Schäden
	CASK	582100	Schäden-Verschrotung	Schäden-Verschrottung des Materials, Kl.
	CASK	582110	Schäden-Verschrotung	Schäden-Verschrottung des Materials, Kl.
	CASK	582120	Differenzen-Qualität	Differenzen-Qualität
	CASK	582130	Differenzen-Qualität	Differenzen-Qualität
	CASK	582200	Aufwands aus Inv-Dif	Aufwands aus Inventur-Differenzen
	CASK	584000	Bildung v.Rückstell.	Bildung von Rückstellungen
	CASK	588000	Sonst.außerord.Aufw.	Sonstige außerordentliche Aufwendungen
	CASK	589000	Bildung v.Bericht.Po	Bildung von Berichtigungsposten
	CASK	591000	Eink.St.-gew.Tät.-fä	Einkommensteuer aus gewöhnlicher Tätigke
	CASK	592000	Eink.St.-gew.T.-late	Einkommensteuer aus gewöhnlicher Tätigke
	CASK	593000	Eink.St.-außg.T.-fäl	Eikommensteuer aus außergewöhnl. Tätigke
	CASK	594000	Eink.St.-außg.T.-lat	Einkommensteuer aus außergewöhnl.Tätigk.
	CASK	595000	Einkom.St.nachzahl.	Einkommensteuernachzahlung
	CASK	596000	Gewinnausch.an Gesel	Gewinnausschüttung an Gesellschafter
	CASK	597000	Umbuch.v.betr.Aufw.	Umbuchung von betrieblichen Aufwendungen
	CASK	598000	Umbuch.v.Finanz.Auf.	Umbuchung von Finanzaufwendungen
	CASK	601000	Umsatzerl.a.Fertig.I	Umsatzerlöse aus Fertigerzeugnissen
	CASK	602000	Umsatzerl.a.Dienst.	Umsatzerlöse aus Dienstleistungen
	CASK	604000	Umsatzerl.a.War.ver.	Umsatzerlöse aus Warenverkäufen
	CASK	612000	Veränder. Halbfabrik	Bestandsveränderung Halbfabrikate
	CASK	612100	Veränder. Halbfabrik	Veränderung des Bestands an Halbfabrikat
	CASK	613000	Bestandsv.Fertigerz.	Bestandsveränderung Fertigerzeugnisse
	CASK	614000	Bestandsver. Tiere	Bestandsveränderung Tiere
	CASK	621000	Aktiv.von Mat.u.War.	Aktivierung von Material und Waren
	CASK	622000	Aktiv.innenbetr.Dien	Aktivierung innerbetrieblicher Dienstlei
	CASK	623000	Aktiv.immat.Anlagev.	Aktivierung immateriellen Anlagevermögen
	CASK	624000	Aktiv.mat.Anlagever.	Aktivierung materiellen Anlagevermögens
	CASK	641000	Erl.aus Verk.GS AV	Erlöse aus dem Verk.von Gegenständen des
	CASK	642000	Erl.aus Verk.von Mat	Erlöse aus dem Verkauf von Material
	CASK	644000	Vertragsstraf.u.Verz	Vertragsstrafen und Verzugszinsen
	CASK	645000	Sonst.straf.u.Bußg.	Sonstige Strafen und Bußgelder
	CASK	646000	Erträge aus abg.Ford	Erträge aus abgeschriebenen Forderungen
	CASK	648000	Sonst.betr.Erträge	Sonstige betriebliche Erträge
	CASK	648100	Sonst.betr.E.-Op.DIF	Sonstige betr.Erträge (MM,Op.DIF-kl.Abwe
	CASK	648200	Sonst.b.Ertr.-Qual.k	Sonstige betr. Ertr.-aus Verbrauch Quali
	CASK	652000	Auflös.gesetz.Rückst	Auflösung gesetzlicher Rückstellungen
	CASK	654000	Auflös.sonst.Rückst	Auflösung sonstiger Rückstellungen
	CASK	655000	Aufl.kompl.Rechn.a.p	Auflösung komplexer Rechnungsabgrenzungs
	CASK	657000	Aufl.zu Konto 098	Auflösung zu Konto 098
	CASK	659000	Aufl.von Berichtpost	Auflösung von Berichtigungsposten
	CASK	661000	Erl.aus Verk.von WP	Erlöse aus dem Verk.von WP und Beteiligu
	CASK	662000	Zinsen	Zinsen
	CASK	663000	Kursgewinne	Kursgewinne
	CASK	663040	Kursgewinne	Kursgewinne
	CASK	665000	Ertr.aus Finanzanl.	Erträge aus Finanzanlagen
	CASK	666000	Ertr.aus kruzf.FV	Erträge aus kurzfristige Finanzvermögen
	CASK	668000	Sonst.Finanzerträge	Sonstige Finanzerträge
	CASK	668100	Sonstige Erträge	Sonstige Erträge - Überzahlung
	CASK	668200	Sonstige Finanzertr.	Sonstige Finanzerträge f. Zahlungsdiffer
	CASK	674000	Auflös.von Rückstel.	Auflösung von Rückstellungen
	CASK	679000	Auflös.von Bericht.p	Auflösung von Berichtigungsposten
	CASK	681000	Ertr.aus Bewertungsä	Erträge aus Bewertungsänderungen
	CASK	684000	Aufl.von Rückstel.	Auflösung von Rückstellungen
	CASK	688000	Sonst.außerord.Ert.	Sonstige außerordentliche Erträge
	CASK	688100	Ertr.aus Inv.-Dif.	Ertrag aus Inventur-Differenzen
	CASK	689000	Aufl.von Bericht.p.	Auflösung von Berichtigungsposten
	CASK	697000	Umbuch.von betr.Ert.	Umbuchung von betrieblichen Erträgen
	CASK	698000	Umbuch.von Finanzert	Umbuchung von Finanzerträgen
	CASK	811000	DVL-vorbereitung	Direkt Verrechnung Leistungen-vorbereit.
	CASK	813000	DVL-Einstelung	Direkt Verrechnung Leistungen-Einstelung
	CASK	814000	DVL-Transport Intern	Direkt Verrechn.Leistungen-Transport Int
	CASK	815000	DVL-Reparierung Std	Direkt Verr.Leistung.Reparierung Stunden
	CASK	816000	DVL-Prüfung	Direkt Verrechnung Leistungen-Prüfung
	CASK	817000	DVL-Energie	Direkt Verrechnung Leistungen-Energie
	CASK	818000	DVL-Entwicklung IT	Direkt Verrechn.Leistungen-EntwicklungIT
	CASK	819000	DVL-Produktion	Direkt Verrechn.Leistungen-Produktion
	CASK	820000	DVL-Maschinen Kosten	Direkt Verrechn.Leistungen-Maschinen Kst
	CASK	821000	DVL- Arbeitskosten	Direkt Verrechn.Leistungen-Arbeitskosten
	CASK	823000	DVL - Einzündung	Direkt Verrechn.Leistungen-Einzündung
	CASK	825000	DVL - Einstelung II	Direkt Verrechn.Leistungen-Einstelung II
	CASK	826100	Berater - Junior	Berater - Junior
	CASK	826200	Berater - Senior	Berater - Senior
	CASK	826300	Manager	Manager
	CASK	826400	Schulung	Schulung
	CASK	830000	ND für verrechnung	ND für verrechnung
	CASK	831000	Verrechnung Kantine	Verrechnung Kantine
	CASK	831100	Verrechnung Transp.A	Verrechnung Transporten Administrative
	CASK	831200	Verrechnung Personal	Verrechnung Personal Kosten
	CASK	831300	Verrechnung Dienste	Verrechnung Firmen Dienste
	CASK	831400	Verrechnung Kantine2	Verrechnung Kantine 2
	CASK	831500	ASM Telefon	Verrechnung Telephon
	CASK	832000	UDVL-Dienste	Undirekt Verrech.Leistungen-Dienste
	CASK	833000	UDVL - Kantine	Undirekt Verrech.Leistungen-Kantine
	CASK	834000	UNDVL-Telephon Gebüh	Undirekt Verrech.Leistungen-Telephon Geb
	CASK	835000	UNDVL-Telephonen	Undirekt Verrech.Leistungen-Telephonen
	CASK	836000	UDVL-Transport Admin	Undirekt Verrech.Leistungen-Transport ad
	CASK	837000	UDVL-Personal Kosten	Undirekt Verrech.Leistungen-Personal Kos
	CASK	840000	UDVL-ABC Gemeine	Undirekt Verrech.Leistungen-ABC Gemeine
	CASK	841000	UDVL-Sonstige kosten	Undirekt Verrech.Leistungen-Sonstige
	CASK	841100	UDVL-ABC Reparaturen	Undirekt Verrech.Leistung-ABC Reparature
	CASK	841200	UDVL-ABC Maschinen	Undirekt Verrech.Leistung-ABC Maschinen
	CASK	841300	UDVL- ABC Burn in	Undirekt Verrech.Leistungen-ABC Burn in
	CASK	841400	UDVL-Stunden speci	Undirekt Verrech.Leistungen-ABC-Spec.std
	CASK	841500	UDVL-ABC Material	Undirekt Verrech.Leistungen-ABC-Material
	CASK	841600	UDVL-ABC Verkauf	Undirekt Verrech.Leistungen-ABC-Verkauf
	CASK	848000	Verrechnung ABC	Verrechnung ABC
	CASK	848100	Verrechn.ABC betrieb	Verrechn.ABC betriebliche
	CASK	848200	Verrech.ABC Kompl.PC	Verrechnung ABC Komplete PC
	CASK	848300	Verrech.ABC Komp.PC1	Verrechnung ABC Komplete KonfigurationPC
	CASK	848400	Verrech.ABC Design	Verrechnung ABC Design
	CASK	849000	Verrechn.ABC Gemeine	Verrechn.ABC Gemeine
	CASK	849100	Verrechn.ABC Qualit.	Verrechn.ABC Qualität Sicherheit
	CASK	849200	Verrechn.ABC fin/adm	Verrechn.ABC Finanz/Administration
	CASK	849300	Verrechn.ABC Marketi	Verrechn.ABC Marketing
	CASK	849400	Verrechn.ABC Verkauf	Verrechn.ABC Verkauf
	CASK	849500	Verrechn.ABC Anforde	Verrechn.ABC Anforderung
	CASK	849600	Verrechn.ABC Anbietu	Verrechn.ABC Anbietung
	CASK	849700	Verrechn.ABC Produkt	Verrechn.ABC Produktion
	CASK	849800	Verrechn.ABC Logisti	Verrechn.ABC Logistik
	CASK	849900	Verrechn.ABC Pfleg.	Verrechn.ABC Pflegung
	CASK	849910	Verrechn.ABC Entwick	Verrechn.ABC Entwicklung
	CASK	850000	Verrechnung Kontrakt	Verrechnung Kontrakt
	CASK	851000	Verrechnung Kontr-Ma	Verrechnung Kontrakt-Material
	CASK	852000	VerrechnungAuftragAR	VerrechnungAuftrag Arbeit
	CASK	852500	Verrechnung Verzinsu	Verrechnung Verzinsungen
	CASK	853000	Verrechn.Auftrag Qua	VerrechnungAuftrag Qualität
	CASK	855100	Verwaltungs Bonus DM	Verwaltungs Bonus Direkt Material
	CASK	855110	Verwaltungs Bonus SM	Verwaltungs Bonus Sondern Material
	CASK	855200	Verwaltungs PersKost	Verwaltungs Personal Kosten
	CASK	855300	Verwaltungs Administ	Verwaltungs Administrative
	CASK	855400	Verwaltungs Verkauf	Verwaltungs Verkauf
	CASK	856000	Auftrags-/Projektabg	Auftrags-/Projektabgrenzung
	CASK	871110	Aufwand Umsatz-direk	Aufwand für Usatz- direkt
	CASK	871111	Unfertige Erzeug.Dir	Unfertige Erzeugnisse - direkt
	CASK	871112	Bestand WIP EK	Bestand WIP EK
	CASK	871115	Bewertete Erlöse	Bewertete Erlöse
	CASK	871120	Aufwand Umsatz-verwa	Aufwand für Usatz- Verwaltungskosten
	CASK	871121	Bildg. WIP  GK	Bildg. WIP  GK
	CASK	871130	KdU Fertigungskosten	KdU Fertigungskosten
	CASK	871131	Bildg.WIP FK	Bildg.WIP FK
	CASK	871140	Kost. d. Ums. VV	Kost. d. Ums. VV
	CASK	871141	Bildg.WIP VV	Bildg.WIP VV
	CASK	872111	WIP direkte Kosten	WIP direkte Kosten
	CASK	872112	Auflösg.Bestaende EK
	CASK	872121	WIP Gemeinkosten	WIP Gemeinkosten
	CASK	872122	Auflösg.Bestaende GK	Auflösg.Bestaende GK
	CASK	872131	WIP Fertigungskosten	WIP Fertigungskosten
	CASK	872132	Auflösg.Bestaende FK	Auflösg.Bestaende FK
	CASK	872141	WIP S&A	WIP S&A
	CASK	872142	Auflösg.Bestaende VV	Auflösg.Bestaende VV
	CASK	872200	Ohne beschrteibung
	CASK	872300	Ohne beschrteibung
	CASK	873110	KdU direkte Kosten	KdU direkte Kosten
	CASK	873111	Bildg.Bestaende EK	Bildg.Bestaende EK
	CASK	873112	Auflösg.Bestaende EK	Auflösg.Bestaende EK
	CASK	873121	Bildg.Bestaende GK	Bildg.Bestaende GK
	CASK	873122	Auflösg.Bestaende GK	Auflösg.Bestaende GK
	CASK	873131	Bild.Bestaende FK	Bild.Bestaende FK
	CASK	873132	MK Ohne beschreibung	MK Ohne beschreibung
	CASK	873141	MK Ohne beschreibung	MK Ohne beschreibung
	CASK	873142	MK Ohne beschreibung	MK Ohne beschreibung
	CASK	873211	MK Ohne beschreibung	MK Ohne beschreibung
	CASK	873212	MK Ohne beschreibung	MK Ohne beschreibung
	CASK	873221	MK Ohne beschreibung	MK Ohne beschreibung
	CASK	873300	MK Ohne beschreibung	MK Ohne beschreibung
	CASK	874101	MK Ohne beschreibung	MK Ohne beschreibung
	CASK	874103	MK Ohne beschreibung	MK Ohne beschreibung
	CASK	874201	MK Ohne beschreibung	MK Ohne beschreibung
	CASK	874202	MK Ohne beschreibung	MK Ohne beschreibung
	CASK	874203	MK Ohne beschreibung	MK Ohne beschreibung
	CASK	875100	MK Ohne beschreibung	MK Ohne beschreibung
	CASK	875200	MK Ohne beschreibung	MK Ohne beschreibung
	CASK	875300	MK Ohne beschreibung	MK Ohne beschreibung
	CASK	875400	MK Ohne beschreibung	MK Ohne beschreibung
	CASK	875500	Erträge	Erträge
	CASK	890000	Abrechnung PA Admin.	Abrechnung PA Admin.
	CASK	891000	Abrechnung PA Liefer	Abrechnung PA Lieferung-Distrib.
	CASK	892000	Abrechnung PA Market	Abrechnung PA Marketing
	CASK	893000	Abrechnung PA Verkau	Abrechnung PA Verkaufsverwaltung
	CASK	894000	Abrechnung PA Erzeug	Abrechnung PA Erzeugniss
	CASK	898000	Interne Erlöse	Interne Erlöse
	CASK	898100	Bestandsveränderung	Bestandsveränderung aus internen Lieferu
	CASK	898200	Lieferungen von PC	Lieferungen von anderen Profit Centern
	CATR	600000000	Umsätze Inland	Umsätze Inland
	CATR	601000000	Umsätze Ausland	Umsätze Ausland
	CATR	602010000	Erhalt.Verzugszinsen	Erhaltene Verzugszinsen
	CATR	602020000	Erh.Prämien/Rabatte	Erhaltene Prämien und Rabatte
	CATR	602030000	Förderungsprämien	Förderungsprämien
	CATR	602040000	Subvent/Preistabfond	Subventions- und Preisstabilitätsfonds
	CATR	602050000	KursdifferenzErträge	Erträge aus Kursdifferenz
	CATR	610010000	Retouren.Verkauf,Inl	Retouren Verkauf - Inland
	CATR	610020000	Retour.Verkauf,Ausl.	Retouren Verkauf - Ausland
	CATR	611000000	Umsatzrabatte	Umsatzrabatte
	CATR	611900000	Skonti Verkauf,Deb.	Skonti Verkauf - Debitoren
	CATR	612000000	Sonstige Rabatte	Sonstige Rabatte
	CATR	612900000	Unberecht.Rabat.Deb.	Unberechtigte Rabatte Debitoren
	CATR	620000000	Kosten Fertigfabr.	Einstandskosten verkaufte Fertigfabrikat
	CATR	621000000	Kosten Handelswaren	Einstandskosten verkaufte Handelswaren
	CATR	621900000	Kost.verk.Handelswar	Einstandskosten verkaufte Handelsware
	CATR	622000000	Kost.Dienstleistung	Einstandskosten erbrachte Dienstleistung
	CATR	623000000	Kosten sonst.Umsätze	Einstandskosten sonstige Umsätze
	CATR	630000000	FuE Kosten	Forschungs- und Entwicklungskosten
	CATR	631000000	Verkauf/Vertr.kosten	Marketing,Verkaufs- und Vertriebskosten
	CATR	632000000	allg.Verwaltungskost	Allgemeine Verwaltungskosten (-)
	CATR	640000000	Dividend.aus.Beteil.	Dividendenerträge aus Beteiligungen
	CATR	641000000	Dividenden verb.Unt	Dividendenerträge a.verbundenen Unterneh
	CATR	642100000	Einlagenzinsen	Einlagenzinsen
	CATR	642200000	Sonst.Zinserträge	Sonstige Zinserträge
	CATR	642300000	Schatzwechselzins	Schatzwechselzinsen
	CATR	642400000	Zinsen Staatsanleihe	Zinsen Staatsanleihen
	CATR	642500000	Zins.zurückbez.Wechs	Zurückbezahlte Wechsel Zinsen
	CATR	643000000	Provisionserträge	Provisionserträge
	CATR	644000000	Rkst.Grund weggefall	Rückstellung, Grund weggefallen
	CATR	645000000	Wertp.Verkauf.gewinn	Wertpapier Verkaufsgewinne
	CATR	646000000	Devisengewinne	Devisengewinne
	CATR	647000000	Diskont.Zinserträge	Zinserträge aus Diskontierung
	CATR	649000000	Sonst.ord.Gewinne	Sonstige ordentliche Erträge und Gewinne
	CATR	649900000	Wechselsteuererträge	Wechselsteuererträge
	CATR	649910000	Wechseleinlös.ertrag	Wechseleinlösungserträge
	CATR	649920000	Inkassoausg. Erträge	Inkassoausgaben Erträge
	CATR	649930000	Skonto Erträge	Skonto Erträge
	CATR	649940000	Devise.Kursdiff.Ertr	Devisen Kursdifferenz Erträge
	CATR	649950000	Neubewert.Kursd.Ertr	Neubewertung Kursdifferenz Erträge
	CATR	653000000	Provisionsaufwendung	Provisionsaufwendungen
	CATR	654000000	Rückstellungsaufwand	Rückstellungsaufwand
	CATR	655000000	Wertp.Verkaufverlust	Wertpapier Verkaufsverluste
	CATR	656000000	Devisenverluste	Devisenverluste
	CATR	657000000	Diskontier.Zinsaufw.	Zinsaufwendungen aus Diskontierung (-)
	CATR	659000000	Sonst.ord.Verluste	Sonstige ordentl.Aufwendungen u.Verluste
	CATR	659000010	Fertigfabr.Int.Verbr	Fertigfabrikate - Interner Verbrauch
	CATR	659940000	Kursdifferenz Aufw.	Devisen Kursdifferenz Aufwand
	CATR	659950000	Neubewert.Kursdiff.	Neubewertung Kursdifferenz Aufwand
	CATR	660000000	Verschuldaufw.kurzf	Verschuldungsaufwand, kurzfristig
	CATR	661000000	Verschuldaufw,langf.	Verschuldungsaufwand, langfristig (-)
	CATR	671000000	Ertrag/Gewinn.Vorper	Erträge und Gewinne der Vorperiode
	CATR	679000000	Anlverm.Verk.ertrag	Verkaufsertrag Anlagevermögen
	CATR	679000100	Anlverm.Verk.ertrag	Verkaufsertrag Anlagevermögen
	CATR	679000110	Anlverm.Verk.gewinn	Verkaufsgewinn Anlagevermögen
	CATR	679000200	Vers.schadenrückverg	Versicherungsschadenrückvergütung, Beträ
	CATR	679000300	Sonst.außero.Gewinne	Sonst.außerordentlicher Erträge und Gewi
	CATR	679000990	Ertr.Norm.abschr.erh	Erträge a.d.Erhöhung.Normalabschr.
	CATR	679900000	Ertrag.Inventardiff.	Erträge aus Inventardifferenzen
	CATR	679910000	Ertr.a.QC Verbrauch.	Erträge aus Verbrauch, Qualitätskontroll
	CATR	680000000	Aufw/Verl.Lohnkosten	N.prod.Bereich Aufwand/Verluste Lohnkost
	CATR	680000010	Aufw/Verl.ProdGemko.	N.prod.Bereich Aufw./Verlust Prod.gemein
	CATR	681000000	Kost/Verl.Vorperiode	Aufwendungen und Verluste Vorperiode (-)
	CATR	689000000	Sonst.aord.Verluste	Sonst.außerordentl.Aufwand und Verluste
	CATR	689000110	Anlverm.Verk.verlust	Verkaufsverluste Anlagevermögen
	CATR	689000120	Anlvermögen,Ausschuß	Anlagevermögen Ausschußverlust
	CATR	689900000	Kosten Bestandsänd.	Kosten Bestandsveränderung
	CATR	689910000	Verbrauch QC	Verbrauch Qualitätskontrolle
	CATR	689920000	Schrottkost Rohstoff	Schrottkosten Rohstoff und Material
	CATR	710000000	Dir.kost.1 Rohst/Mat	Direktkosten 1 Rohstoffe und Material
	CATR	710000100	Dir.verbrauch Rohst.	Direktverbrauch Rohstoffe
	CATR	710000200	Dir.verbr.Hilfsstoff	Direktverbrauch Hilfsstoffe
	CATR	710000300	Betriebsmaterial	Betriebsmaterial
	CATR	710000400	Verbrauch Verpackmat	Direktverbrauch Verpackungsmaterial
	CATR	710010000	Dirkost.2 Rohstoffe	Direktkosten 2 Rohstoffe und Materialien
	CATR	710020000	Kost.Hilf/Betriebsst	Kosten Hilfs-und Betriebsstoffe
	CATR	710030000	Kosten Verpack.mat.	Kosten Verpackungsmaterial
	CATR	710040000	Kosten Ersatzteile	Kosten Ersatzteile
	CATR	710080000	Verbrauchskto.Halbf.	Verbrauchskonto Halbfabrikate
